id,full_name,url,stars,forks,collaborators,commit,openIssue,closedIssue
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,58417,13807,321,9056,351,8391
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19257,3285,333,11413,1951,7264
21467110,explosion/spaCy,https://api.github.com/repos/explosion/spaCy,22479,3715,304,15325,83,4953
145670234,open-mmlab/mmdetection,https://api.github.com/repos/open-mmlab/mmdetection,18356,6693,193,1926,435,4761
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22409,7979,208,1819,208,4601
178626720,PyTorchLightning/pytorch-lightning,https://api.github.com/repos/PyTorchLightning/pytorch-lightning,17417,2176,445,6582,395,4197
97641933,OpenMined/PySyft,https://api.github.com/repos/OpenMined/PySyft,7937,1778,331,13416,300,2761
206660580,facebookresearch/detectron2,https://api.github.com/repos/facebookresearch/detectron2,19936,5430,168,1337,129,2718
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20173,8154,270,18067,1048,2463
102904613,Unity-Technologies/ml-agents,https://api.github.com/repos/Unity-Technologies/ml-agents,12452,3327,136,3382,179,2440
91356408,allenai/allennlp,https://api.github.com/repos/allenai/allennlp,10814,2161,248,2661,84,2406
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6275,1451,328,6378,701,2207
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2706,1165,296,4013,606,2151
75413130,isl-org/Open3D,https://api.github.com/repos/isl-org/Open3D,6227,1554,123,3740,333,2115
101782647,pytorch/fairseq,https://api.github.com/repos/pytorch/fairseq,16112,4188,171,2128,1175,2054
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7742,2397,396,7648,239,1948
104741169,microsoft/pai,https://api.github.com/repos/microsoft/pai,2255,496,82,4487,246,1795
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2948,637,132,7069,107,1743
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17814,1598,126,4592,537,1730
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8336,3086,40,2633,12,1705
136914524,flairNLP/flair,https://api.github.com/repos/flairNLP/flair,11267,1822,171,4312,78,1686
99846383,horovod/horovod,https://api.github.com/repos/horovod/horovod,12145,2011,135,1139,280,1674
73328905,pytorch/vision,https://api.github.com/repos/pytorch/vision,10905,5635,452,2486,520,1621
106024057,pyg-team/pytorch_geometric,https://api.github.com/repos/pyg-team/pytorch_geometric,13834,2435,126,5354,885,1519
34275045,kaldi-asr/kaldi,https://api.github.com/repos/kaldi-asr/kaldi,11333,4889,357,9235,123,1385
114054873,espnet/espnet,https://api.github.com/repos/espnet/espnet,4714,1476,161,14023,284,1381
5241312,halide/Halide,https://api.github.com/repos/halide/Halide,4824,954,161,22387,680,1327
214485001,Project-MONAI/MONAI,https://api.github.com/repos/Project-MONAI/MONAI,2746,532,85,1777,126,1327
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,25012,6671,34,1627,2,1315
86031674,wandb/client,https://api.github.com/repos/wandb/client,3716,297,87,4428,244,1312
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10593,1122,73,1571,473,1284
184657328,NVIDIA/TensorRT,https://api.github.com/repos/NVIDIA/TensorRT,4912,1220,38,257,291,1282
88868842,PaddlePaddle/models,https://api.github.com/repos/PaddlePaddle/models,6382,2860,242,4827,672,1280
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,11015,1567,147,2505,260,1247
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11321,2506,248,2509,849,1210
82841862,OpenNMT/OpenNMT-py,https://api.github.com/repos/OpenNMT/OpenNMT-py,5467,2076,160,2589,82,1208
89266735,facebookresearch/ParlAI,https://api.github.com/repos/facebookresearch/ParlAI,8637,1776,160,4068,84,1158
153097643,openvinotoolkit/openvino,https://api.github.com/repos/openvinotoolkit/openvino,3023,1294,209,6893,121,1128
130375797,dmlc/dgl,https://api.github.com/repos/dmlc/dgl,8961,2040,90,2144,262,1085
145148726,Azure/MachineLearningNotebooks,https://api.github.com/repos/Azure/MachineLearningNotebooks,2865,2066,53,1169,213,1022
221654678,deepset-ai/haystack,https://api.github.com/repos/deepset-ai/haystack,4207,682,99,1109,169,1020
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3439,1275,125,7438,398,995
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5988,661,155,11643,97,966
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3717,480,67,2369,150,946
52581991,snorkel-team/snorkel,https://api.github.com/repos/snorkel-team/snorkel,5029,810,64,2669,19,944
200722670,NVIDIA/NeMo,https://api.github.com/repos/NVIDIA/NeMo,3894,889,124,4232,34,930
212747520,ThilinaRajapakse/simpletransformers,https://api.github.com/repos/ThilinaRajapakse/simpletransformers,2982,618,81,1760,84,908
250213286,huggingface/datasets,https://api.github.com/repos/huggingface/datasets,12527,1513,369,2435,409,898
111835796,pytorch/ignite,https://api.github.com/repos/pytorch/ignite,3876,527,160,1349,112,890
88612945,junyanz/pytorch-CycleGAN-and-pix2pix,https://api.github.com/repos/junyanz/pytorch-CycleGAN-and-pix2pix,16873,5092,54,505,370,877
156293205,pytorch/xla,https://api.github.com/repos/pytorch/xla,1548,246,74,2674,120,858
217433767,facebookresearch/pytorch3d,https://api.github.com/repos/facebookresearch/pytorch3d,5655,809,2,667,71,851
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2474,713,96,3424,419,840
102057483,deepinsight/insightface,https://api.github.com/repos/deepinsight/insightface,11228,3646,38,1980,984,829
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3842,967,102,16744,300,825
160543708,mars-project/mars,https://api.github.com/repos/mars-project/mars,2358,297,40,1043,150,819
188660663,CorentinJ/Real-Time-Voice-Cloning,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning,33590,6157,2,293,33,815
93868719,cornellius-gp/gpytorch,https://api.github.com/repos/cornellius-gp/gpytorch,2684,411,74,3583,247,802
136846372,rlworkgroup/garage,https://api.github.com/repos/rlworkgroup/garage,1404,247,68,1217,191,800
117772329,MVIG-SJTU/AlphaPose,https://api.github.com/repos/MVIG-SJTU/AlphaPose,5883,1650,13,139,146,790
122896249,dmlc/gluon-cv,https://api.github.com/repos/dmlc/gluon-cv,5066,1136,111,891,44,752
94506832,pyro-ppl/pyro,https://api.github.com/repos/pyro-ppl/pyro,7316,895,102,2303,167,743
154232678,sql-machine-learning/elasticdl,https://api.github.com/repos/sql-machine-learning/elasticdl,653,112,23,1825,88,734
